BRIX ,lbs/gal,# SOLIDS/GAL,kg/gal,# solid per Metric Ton,Total Gallons per metric Ton
55,10.486,5.767,4.756,1212.5,210.2
55.1,10.491,5.7805,4.759,1214.7,210.1
55.2,10.496,5.7937,4.761,1216.9,210
55.3,10.5,5.8068,4.763,1219.2,210
55.4,10.505,5.82,4.765,1221.4,209.9
55.5,10.51,5.8332,4.767,1223.6,209.8
55.6,10.515,5.8463,4.77,1225.7,209.7
55.7,10.52,5.8595,4.772,1227.9,209.6
55.8,10.524,5.8727,4.774,1230.2,209.5
55.9,10.529,5.8858,4.776,1232.4,209.4
56,10.534,5.899,4.778,1234.6,209.3
56.1,10.538,5.9122,4.78,1236.9,209.2
56.2,10.543,5.9255,4.782,1239.1,209.1
56.3,10.548,5.9387,4.785,1241.2,209
56.4,10.553,5.9519,4.787,1243.4,208.9
56.5,10.558,5.9651,4.789,1245.6,208.8
56.6,10.562,5.9783,4.791,1247.8,208.7
56.7,10.567,5.9915,4.793,1250,208.6
56.8,10.572,6.0047,4.795,1252.2,208.5
56.9,10.577,6.0179,4.798,1254.3,208.4
57,10.581,6.031,4.8,1256.6,208.4
57.1,10.586,6.0446,4.802,1258.8,208.3
57.2,10.591,6.058,4.804,1261,208.2
